0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,Airline,Winter,Summer
60.00,,,,,,,,,,,,,,
,,,,,,,,,,,,Srilankan Airlines,48.82,50.10
50.00,,,,,,,,,,,,Mihin Lanka,7.79,8.25
40.00,,,,,,,,,,,,Emirates,6.82,6.69
,,,,,,,,,,,,Qatar Airways,4.96,4.86
30.00,,,,,,,,,,,,,,
Share of Total Seating Capacity,,,,,,,,,,,,Fly Dubai,3.13,3.06
20.00,,,,,,,,,,,,Ethihad Airways,2.89,2.83
10.00,,,,,,,,,,,,Air Asia X **,2.08,2.04
,,,,,,,,,,,,Cathey Pacific Airways,1.88,1.84
0,,,,,,,,,,,,,,
,,,,,,,,,,,,Jet Airways,1.85,1.82
,se,a,se,s,i,s,*,sy,s,ri,sr,,,
,ni,kn,ta,ya,ab,ya,*,a,ya,A,eh,,,
,lr,a,ri,w,u,w,X,wr,w,n,t,Oman Air,1.72,2.41
,iA,L,m,ri,D,ri,a,i,ri,a,O,,,
,,ni,E,A,y,A,is,A,A,m,,,,
,na,hi,,ra,lF,d,A,ci,te,O,,Others,18.06,16.10
,kM,,a,t,ah,ri,i,f,J,,,,,
na,,,Q,,ih,A,ca,,,,,,,
li,,,,,t,,P,,,,,,,
rS,,,,,E,,y,,,,,,,
,,,,,,,eh,,,,,,,
,,,,,,,ta,,,,,,,
