0,1,2,3,4,5
"Table 2. Top ten source markets to Sri Lanka, June  2022",,,,,
,,,,,Tourist
,Country of,,Tourist Arrivals (June 2022),,
Rank,,,,,Arrivals
,Residence,,,,
,,By Air,By Sea,Total,(June 2021)
1,India,"6,810",-,"6,810",5
2,United Kingdom,"3,368",-,"3,368",121
3,Australia,"2,511",-,"2,511",13
4,Germany,"2,466",-,"2,466",137
5,Canada,"2,308",-,"2,308",67
6,France,"1,717",-,"1,717",654
7,United States,"1,647",-,"1,647",118
8,Russian Federation,"1,610",-,"1,610",33
9,Maldives,"1,130",-,"1,130",22
10,Spain,"1,027",-,"1,027",10
