0,1,2,3,4,5,6,7
,,Revenue from Sale of Tickets - 1986 to 2013,,,,,
Year,Total no. of,Collection,,,,,
,foreign visitors,in Rs.’000,,,,,
1986,"15,088",352.9,,,,,
1987,"5,538",138.5,,,,,
,,,,Details by Museums - 2013,,,
1988,"12,315",254.0,,,,,
1989,"20,354",479.3,,,,,
,,,,,Foreign Tickets,,Local Tickets
1990,"38,248",902.1,,,,,
,,,Museums,,,,
1991,"22,159",821.4,,No. of,Revenue,No. of,Revenue
,,,,Foreign,(in Rs.),Domestic,(in Rs.)
1992,"26,920","1,005.8",,,,,
,,,,Tourists,,Tourists,
1993,"31,373","1,180.8",,,,,
1994,"31,229","1,154.1",,,,,
,,,Colombo National Museum,"32,392","10,530,071","192,520","2,387,429"
1995,"24,997","1,171.0",,,,,
1996,"13,278",622.2,,,,,
,,,National History Museum,"1,471","460,500","59,653","709,690"
1997,"13,916",712.1,,,,,
1998,"14,417",738.7,Kandy National Museum,"3,252","1,610,600","20,742","260,320"
1999,"16,686",860.7,,,,,
,,,Ratnapura National Museum,99,"28,650","12,551","139,510"
2000,"10,122",506.2,,,,,
2001,"11,157",620.4,,,,,
,,,Galle National Museum,"2,939","863,100","21,616","237,815"
2002,"13,577",769.0,,,,,
2003,"19,213","1,181.1",Anuradhapura Folk Museum,117,"35,100","4,795","55,005"
2004,"23,883","1,463.2",,,,,
2005,"15,281","3,937.6",Dutch Museum,767,"379,700","4,308","81,125"
2006,"13,771","6,522.5",,,,,
,,,Galle Maritime Museum,"3,111","902,400","32,373","339,110"
2007,"9,040","4,190.9",,,,,
2008,"7,353","3,340.6",,,,,
,,,Independence Memorial Museum,6036,"171,750","26,873","189,185"
2009,"10,244","4,636.4",,,,,
2010,"22,061","9,868.6",Total,"50,184","14,981,871","375,431","4,399,189"
2011,"31,096","14,200.0",,,,,
2012,"37,305","16,843.0",Source : Department of National Museum,,,,
2013,"44,751","14,981.0",,,,,
