0,1,2,3,4,5,6,7,8
,"Market Regions  (2010, 2011 & 2012)",,,,,,,
,,,,,from 2012 to 2013 in United Kingdom. The highest,,,
,,Percentage Share,,,,,,
Market Region,,,,,tourist  producers  namely  India  and  UK  claimed,,,
,2011,2012,2013,,,,,
,,,,,almost  one  third  of  the  total  tourist  traffic  to  the,,,
North America,6.3,5.9,5.1,,,,,
,,,,,country during the year reviewed.,,,
Western Europe,37.4,37.1,33.0,,,,,
Eastern Europe,6.1,7.2,9.9,,,,,
,,,,,Germany  has  continued  its  position  as  the  third,,,
Middle East,4.2,5.6,6.3,,,,,
Asia - South,28.5,24.6,25.6,major  source  of,tourism,to,the  country  as,the
Asia - South East,4.3,5.8,6.3,,claiming  6.7  percentage  share  of  the  total.  It  is,,,
Asia - North East,6.0,7.4,8.1,,noteworthy  to  see  that  the  France  who  ranked  the,,,
,5.1,5.7,4.8,,,,,
Australasia,,,,,sixth  position  in  2009  moved  up  to  fifth  place  in,,,
Others,2.2,0.7,0.9,,,,,
,,,,,"2013, recording 5.1 percentage shares. But Australia",,,
World,100.0,100.0,100.0,,,,,
,,,,,has an increment of a percentage 5.1% compared to,,,
