0,1,2,3,4,5,6,7,8,9,10
Percentage Distribution of Tourists by Purpose of Visit - 2004 to 2013,,,,,,,,,,
Purpose,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Pleasure,78.2,69.6,67.4,67.1,73.2,80.0,78.9,80.4,74.4,71.8
Business,10.6,16.9,17.8,10.5,8.5,8.6,12.7,8.0,9.0,5.3
Visiting Friends,6.4,8.0,7.6,8.3,8.3,5.2,5.4,8.2,11.7,12.9
& Relations,,,,,,,,,,
Convention &,2.5,2.3,3.0,1.5,1.3,1.4,1.0,1.7,2.2,2.1
Meeting,,,,,,,,,,
Religious &,,,,,,,,,,
Cultural,1.5,1.0,1.7,2.8,2.6,2.0,0.8,0.3,2.2,5.1
Others,0.9,2.2,2.5,9.8,6.1,2.8,1.2,1.4,0.5,2.8
Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
