0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,Tourist Arrivals by Country of Residence & Carrier - 2013,,,,,,,,,,,,,,,
Country of,,Sri Lankan,Air Asia,Air India,Qatar,Singapore,Thai,Korean,Kuwait,Gulf AW,Saudia,Oman,Emirates,RJ,Cathey,Mihin,Air,Turkey
Residence,Total,A/L,,Express,,A/L,AW,A/L,A/L,,,,,,,Lanka,India,
NORTH AMERICA,"65,616","39,050",508,263,"2,201","1,985",738,60,201,39,585,-,"7,906",237,"1,903","1,126",331,434
Canada,"30,926","20,105",164,107,"2,003",433,255,60,52,9,238,- -,"2,883",64,716,316,163,103
U.S.A.,"34,690","15,954",344,156,198,"10,552",483,-,149,30,347,,"2,023",173,987,510,168,331
LATIN AMERICA & CARRIBEAN,"3,166",902,18,7,158,22,23,555,8,3,16,513,413,13,26,48,11,29
WESTERN EUROPE,"421,037","164,121","4,536",834,"49,298","4,162","1,289","3,866","1,155",433,"15,038","4,013","108,057","3,490","2,981","3,019","1,243","5,709"
Austria,"11,300","1,206",23,16,"1,607",64,35,"1,031",2,,205,"1,663","4,276",115,26,32,22,181
Belgium,"9,138","3,015",21,14,"2,214",103,48,-,11,2 7,129,-,"1,186",61,59,47,16,275
Denmark,"9,845","2,666",24,13,"2,473",40,27,655,,81,86,650,"2,111",18,118,139,68,233
Finland,"2,471",718,7,4,176,13,9,598,8 1,1,2,328,192,6,10,21,6,196
France,"64,388","28,436",159,118,"5,447",379,173,955,415,61,"3,610",964,"15,743","1,328",486,353,245,542
Netherlands,"22,281","5,138",61,14,"1,448",238,57,90,19,58,321,123,"10,034",856,149,110,32,337
Italy,"17,982","6,374",135,142,"1,878",102,48,55,169,27,490,12,"6,129",101,107,127,132,445
Norway,"8,573","3,251",131,19,"2,744",64,45,45,8,,63,14,535,19,38,350,111,508
Spain,"8,183","2,108",46,43,"2,068",80,41,,14,4 2,115,,"2,295",19,41,126,22,243
Sweden,"12,597","3,823",84,20,"4,034",71,65,- -,3,32,354,- -,"2,218",65,81,132,57,669
Switzerland,"19,141","3,888","1,120",122,"3,824","1,115",55,19,30,1,708,15,"6,066",158,106,92,53,372
U.K,"137,416","69,499","2,495",199,"8,724","1,368",422,418,300,99,"4,424",244,"28,791",266,"1,370",979,294,580
Germany,"85,470","29,696",188,99,"10,739",458,224,,144,56,"4,410",,"25,328",402,283,392,166,819
Others,"12,252","4,303",42,11,"1,922",67,40,- -,31,2,121,- -,"3,153",76,107,119,19,309
EASTERN EUROPE,"125,695","35,171","1,537",710,"7,194",711,529,405,467,436,"1,111",455,"25,468",624,627,"3,387",712,576
Russia,"51,235","18,519",101,78,"5,817",156,63,,32,28,228,,"11,285",98,122,"1,250",138,337
Ukraine,"38,607","5,336","1,100",113,713,104,30,- -,16,6,110,- -,"2,178",61,50,"2,049",109,94
Others,"35,853","11,316",336,519,664,451,436,405,419,402,773,455,"12,005",465,455,88,465,145
AFRICA,"8,081","4,085",28,11,293,88,35,-,7,3,143,-,"1,949",10,59,104,29,22
MIDDLE EAST,"80,509","27,286",167,119,"11,126",345,228,419,"1,657",116,"7,019",600,"12,121","3,256",250,"1,835",144,"1,118"
ASIA,"509,653","321,173","6,026","2,357","5,396","14,407","7,165",668,"1,463",514,"3,433",470,"30,743",863,"15,157","24,231","10,744","1,207"
China,"54,288","34,847",792,31,615,"1,734","1,308",,177,,156,,"1,981",48,"6,644",732,98,53
Indonesia,"17,295","6,541",711,10,92,454,29,,3,,354,,383,36,147,"5,872",77,31
Japan,"31,505","21,053",458,42,260,"2,295",442,,245,,71,,655,28,"2,416",927,52,57
Malaysia,"19,181","8,668","2,090",30,146,387,120,,6,,990,,761,50,429,917,31,40
Philippines,"14,616","6,372",393,,172,696,217,- - - - - 1 - -,14,7 1 7 - 1 - - 1 2,53,,655,,470,172,9,31
Singapore,"15,546","5,807",77,2 8 4,119,"4,318",123,,,,35,,"2,297",,"1,153",76,20,44
Thailand,"9,608","5,681",91,,54,246,"1,707",,8 8 9,,14,- - - - - - - 1 - - - -,216,3 6 1 7,"1,025",43,14,17
Taiwan,"3,931","1,380",58,19,66,111,320,,,,10,,149,,321,126,3,9
South Korea,"12,207","4,164",207,65,218,"1,032",496,198,329,,63,,780,11,823,126,78,63
India,"208,795","145,759",852,"1,323","2,044","2,146","1,491",,125,23,945,,"6,744",169,926,"9,279","9,349",278
Maldives,"79,474","59,460",105,60,736,343,120,- - -,50,,176,,"15,569",17,266,335,26,58
Bangladesh,"10,037","3,002",64,68,243,83,129,,18,2 -,64,,348,14,38,"5,022",89,48
Others,"33,170","18,439",128,695,631,562,663,469,471,470,502,469,205,473,499,604,898,478
AUSTRALASIA,"60,836","14,712","2,853",130,"1,586","13,168","2,178",,62,,472,,"10,935",207,"2,591",634,156,200
Australia,"54,252","12,610","2,668",119,"1,437","11,672","2,050",,57,,434,,"10,037",154,"2,410",536,120,151
New Zealand,"6,174","2,054",181,10,143,"1,493",122,- - - -,,8 4 2 2,29,1 - 1 -,815,15,174,69,30,11
Others,410,48,4,1,6,3,6,,2 3,,9,,83,38,7,29,6,38
Total,"1,274,593","606,500","15,673","4,431","77,252","34,888","12,185","5,973","5,020","1,552","27,817","6,052","197,592","8,700","23,594","34,384","13,370","9,295"
