0,1,2
,Number,%
Province,,
,of,Share
,rooms,
Western,"17,736",35.0
Province,,
Southern,"13,174",26.0
Province,,
Central,"8,419",16.6
Province,,
Uva  Province,"2,663",5.3
Eastern,"2,443",4.8
Province,,
North Central,"2,293",4.5
Province,,
North Western,"1,963",3.9
Province,,
Sabaragamuwa,"1,165",2.3
Province,,
Northern,850,1.7
Province,,
