0,1,2
,Country,
Rank,,
1,India,"98,628"
2,Russian Federation,"93,087"
3,United Kingdom,"60,942"
4,Germany,"49,614"
5,China,"39,893"
6,France,"34,282"
7,Australia,"22,607"
8,Poland,"19,727"
9,United States,"19,436"
10,Netherlands,"12,603"
11,Canada,"12,433"
12,Czech Republic,"10,495"
,,"8, 814"
13,Italy,"9,333"
14,S,"8,630"
,witzerland,
15,Kazakhstan,"8,323"
1,Maldives,
6,,"7,855"
17,Japan,"7,331"
18,Spain,"6,957"
19,Austria,"6,572"
2,Denmark,"6,270"
0,,
,Others,"116,441"
,TOTAL,"Number  of Tourists 651,459"
