0,1,2,3
Sri Lanka Tourism  Development Authority  - Weekly Report,,,
"Top ten source markets, 01st to 06th March 2024",,,
,,Number of,
Rank,Country,,
,,,Share %
,,Tourists,
1,Russian Federation,"5,800",14%
2,India,"5,602",14%
3,Germany,"4,110",10%
4,United Kingdom,"3,486",8%
5,C,"2,496",6%
,hina,,
6,France,"2,279",6%
7,A,"1,522",4%
,ustralia,,
8,United States,"1,047",3%
9,Netherlands,"1,020",2%
10,P,905,2%
,oland,,
11,Other,"12,610",31%
,Total,"40,877",
